name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Age,Price_category,,,,,,
Chevrolet Beat Diesel LT,2012,"₹ 1,50,000",60000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Mahindra Verito 1.5 D2 BSIII,2011,"₹ 1,50,000",280000,Diesel,Individual,Manual,First Owner,15,Budget,,,,,,
Hyundai Getz 1.3 GLS,2010,"₹ 1,50,000",105546,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Tata Indica Vista Terra 1.4 TDI,2009,"₹ 1,50,000",164000,Diesel,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Swift Dzire VDi,2009,"₹ 1,50,000",120000,Diesel,Individual,Manual,Second Owner,17,Budget,,,,,,
Tata Indica Vista Aqua TDI BSIII,2009,"₹ 1,50,000",30000,Diesel,Individual,Manual,First Owner,17,Budget,,,,,,
Tata Manza Aura (ABS) Safire BS IV,2010,"₹ 1,50,000",50000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti Alto LXi,2006,"₹ 1,50,000",75118,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Alto LXi,2012,"₹ 1,50,000",50000,Petrol,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Wagon R LXI Minor,2008,"₹ 1,50,000",50000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Tata Indigo GLX,2008,"₹ 1,50,000",50000,Petrol,Individual,Manual,Third Owner,18,Budget,,,,,,
Tata Indigo CR4,2010,"₹ 1,50,000",80000,Diesel,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti Swift 1.3 VXi,2008,"₹ 1,50,000",60000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Maruti SX4 ZXI MT BSIV,2011,"₹ 1,50,000",160000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Alto LXi,2009,"₹ 1,50,000",40000,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Tata New Safari DICOR 2.2 EX 4x2,2009,"₹ 1,50,000",120000,Diesel,Individual,Manual,Third Owner,17,Budget,,,,,,
Tata Xenon XT EX 4X4,2010,"₹ 1,50,000",70000,Diesel,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti Wagon R LXI Minor,2009,"₹ 1,50,000",53000,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Tata Indigo LS,2012,"₹ 1,50,000",90000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Fiat Grande Punto 1.3 Dynamic (Diesel),2010,"₹ 1,50,000",63000,Diesel,Individual,Manual,Third Owner,16,Budget,,,,,,
Tata Indica Vista Quadrajet LX,2012,"₹ 1,50,000",110000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Tata Indigo TDI,2010,"₹ 1,50,000",100000,Diesel,Individual,Manual,First Owner,16,Budget,,,,,,
Ford Fiesta Classic 1.4 Duratorq CLXI,2011,"₹ 1,50,000",186000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Omni MPI STD BSIV,2014,"₹ 1,50,000",120000,Petrol,Individual,Manual,Third Owner,12,Budget,,,,,,
Mahindra Verito 1.5 D4 BSIV,2012,"₹ 1,50,000",172000,Diesel,Individual,Manual,Second Owner,14,Budget,,,,,,
Chevrolet Tavera LS B3 7 Seats BSII,2005,"₹ 1,50,000",150000,Diesel,Individual,Manual,First Owner,21,Budget,,,,,,
Chevrolet Optra Magnum 2.0 LS,2009,"₹ 1,50,000",66000,Diesel,Individual,Manual,First Owner,17,Budget,,,,,,
Maruti Alto LX,2006,"₹ 1,50,000",140300,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Maruti Swift VXi BSIV,2008,"₹ 1,50,000",100000,Petrol,Individual,Manual,Second Owner,18,Budget,,,,,,
Maruti Alto 800 LX,2016,"₹ 1,50,000",25000,Petrol,Individual,Manual,Second Owner,10,Budget,,,,,,
Maruti A-Star Vxi,2011,"₹ 1,50,000",70000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Alto LX,2011,"₹ 1,51,000",40000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Maruti Alto LXi,2009,"₹ 1,51,000",66764,Petrol,Dealer,Manual,Second Owner,17,Budget,,,,,,
Maruti Alto 800 Base,2015,"₹ 1,55,000",40000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Maruti Wagon R LXI DUO BSIII,2009,"₹ 1,55,000",60000,LPG,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Wagon R VXI BSIII,2004,"₹ 1,55,000",80000,Petrol,Individual,Manual,Second Owner,22,Budget,,,,,,
Mahindra Bolero SLX,2008,"₹ 1,55,000",100000,Diesel,Individual,Manual,First Owner,18,Budget,,,,,,
Maruti Alto K10 VXI,2015,"₹ 1,55,000",60000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Maruti Alto LX,2012,"₹ 1,55,000",19077,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Hyundai Verna SX,2007,"₹ 1,55,000",65000,Petrol,Dealer,Manual,First Owner,19,Budget,,,,,,
Hyundai i10 Magna 1.1,2008,"₹ 1,55,000",60000,Petrol,Individual,Manual,Fourth & Above Owner,18,Budget,,,,,,
Hyundai Verna CRDi,2007,"₹ 1,55,000",100000,Diesel,Individual,Manual,Fourth & Above Owner,19,Budget,,,,,,
Chevrolet Beat LT,2012,"₹ 1,55,000",12000,Petrol,Individual,Manual,First Owner,14,Budget,,,,,,
Hyundai Santro Xing GLS,2010,"₹ 1,55,000",90000,Petrol,Individual,Manual,Fourth & Above Owner,16,Budget,,,,,,
Mahindra Jeep MM 775 XDB,2000,"₹ 1,55,000",50000,Diesel,Individual,Manual,Second Owner,26,Budget,,,,,,
Chevrolet Beat Diesel PS,2012,"₹ 1,59,000",68000,Diesel,Dealer,Manual,First Owner,14,Budget,,,,,,
Maruti Alto LXi,2012,"₹ 1,60,000",60000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Maruti SX4 Zxi BSIII,2007,"₹ 1,60,000",80000,Petrol,Individual,Manual,Third Owner,19,Budget,,,,,,
Hyundai Verna CRDi,2009,"₹ 1,60,000",90000,Diesel,Individual,Manual,First Owner,17,Budget,,,,,,
Hyundai EON D Lite Plus,2012,"₹ 1,60,000",70000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Ford Figo Diesel Titanium,2010,"₹ 1,60,000",102307,Diesel,Dealer,Manual,First Owner,16,Budget,,,,,,
Maruti Alto LXi,2010,"₹ 1,60,000",36000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Maruti Alto LX BSIII,2006,"₹ 1,60,000",63230,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Chevrolet Beat Diesel,2012,"₹ 1,60,000",110000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Swift 1.3 VXi,2005,"₹ 1,60,000",67000,Petrol,Individual,Manual,First Owner,21,Budget,,,,,,
Maruti Eeco 5 STR With AC Plus HTR CNG,2012,"₹ 1,60,000",70000,CNG,Individual,Manual,Second Owner,14,Budget,,,,,,
Toyota Corolla AE,2006,"₹ 1,60,000",140000,Petrol,Individual,Manual,Second Owner,20,Budget,,,,,,
Maruti Swift VXI BSIII,2006,"₹ 1,60,000",95149,Petrol,Dealer,Manual,Second Owner,20,Budget,,,,,,
Chevrolet Beat Diesel LS,2012,"₹ 1,60,000",50000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Wagon R LX BS IV,2011,"₹ 1,60,000",155000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Chevrolet Beat Diesel,2012,"₹ 1,60,000",90000,Diesel,Individual,Manual,Second Owner,14,Budget,,,,,,
Hyundai Santro Xing XG AT,2006,"₹ 1,60,000",90000,Petrol,Individual,Automatic,Second Owner,20,Budget,,,,,,
Hyundai i10 Era 1.1,2008,"₹ 1,60,000",110000,Petrol,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti Zen Estilo 1.1 LXI BSIII,2007,"₹ 1,60,000",90000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Hyundai EON 1.0 Kappa Magna Plus,2015,"₹ 1,60,000",70000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Maruti Alto 800 VXI,2014,"₹ 1,60,000",90000,Petrol,Individual,Manual,First Owner,12,Budget,,,,,,
Tata Indigo LS,2010,"₹ 1,60,000",102000,Diesel,Individual,Manual,Second Owner,16,Budget,,,,,,
Tata Manza Aura Safire BS IV,2010,"₹ 1,60,000",60000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Hyundai EON Era Plus,2013,"₹ 1,60,000",80000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Nissan Micra Diesel XV Premium,2011,"₹ 1,60,000",120000,Diesel,Individual,Manual,First Owner,15,Budget,,,,,,
Mahindra Xylo E4,2010,"₹ 1,60,000",130000,Diesel,Individual,Manual,First Owner,16,Budget,,,,,,
Hyundai Accent GLE CNG,2009,"₹ 1,60,000",70000,CNG,Individual,Manual,Third Owner,17,Budget,,,,,,
Chevrolet Beat LS,2011,"₹ 1,60,000",60000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Hyundai EON Era Plus,2012,"₹ 1,60,000",70000,Petrol,Individual,Manual,Third Owner,14,Budget,,,,,,
Chevrolet Aveo U-VA 1.2 LS,2008,"₹ 1,60,000",80000,Petrol,Individual,Manual,First Owner,18,Budget,,,,,,
Tata Indigo LS BSII,2012,"₹ 1,60,000",110000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Wagon R LXI CNG,2011,"₹ 1,60,000",60000,CNG,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Wagon R LXI Minor,2007,"₹ 1,60,000",80000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Alto 800 LXI,2017,"₹ 1,60,000",50000,Petrol,Individual,Manual,First Owner,9,Budget,,,,,,
Tata Indica Vista Aqua 1.3 Quadrajet,2011,"₹ 1,60,000",80000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,"₹ 1,60,000",120000,Diesel,Individual,Manual,Third Owner,19,Budget,,,,,,
Maruti Baleno Vxi,2007,"₹ 1,63,000",100000,Petrol,Individual,Manual,Second Owner,19,Budget,,,,,,
Nissan Micra Active XV S,2013,"₹ 1,64,000",30000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Fiat Punto 1.4 Emotion,2010,"₹ 1,65,000",100000,Petrol,Individual,Manual,Fourth & Above Owner,16,Budget,,,,,,
Chevrolet Beat Diesel,2013,"₹ 1,65,000",60000,Diesel,Individual,Manual,Second Owner,13,Budget,,,,,,
Chevrolet Spark 1.0 LT,2011,"₹ 1,65,000",60000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Maruti Wagon R LXI Minor,2009,"₹ 1,65,000",76000,Petrol,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Gypsy King Hard Top,2000,"₹ 1,65,000",60000,Petrol,Individual,Manual,Fourth & Above Owner,26,Budget,,,,,,
Tata Manza ELAN Quadrajet BS IV,2011,"₹ 1,65,000",100000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Alto 800 LXI,2006,"₹ 1,65,000",132000,Petrol,Individual,Manual,First Owner,20,Budget,,,,,,
Tata Manza Aqua Quadrajet BS IV,2010,"₹ 1,65,000",80000,Diesel,Individual,Manual,First Owner,16,Budget,,,,,,
Ford Fiesta Titanium 1.5 TDCi,2012,"₹ 1,65,000",120000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Chevrolet Spark 1.0 LT Option Pack w/ Airbag,2013,"₹ 1,65,000",53000,Petrol,Dealer,Manual,First Owner,13,Budget,,,,,,
Chevrolet Beat LT,2013,"₹ 1,65,000",50000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Chevrolet Aveo 1.4 LS,2008,"₹ 1,70,000",81324,Petrol,Dealer,Manual,First Owner,18,Budget,,,,,,
Hyundai Tucson CRDi,2006,"₹ 1,70,000",170000,Diesel,Individual,Manual,First Owner,20,Budget,,,,,,
Hyundai Santro Xing GL Plus,2012,"₹ 1,70,000",50000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Hyundai EON LPG Magna Plus,2012,"₹ 1,70,000",170000,LPG,Individual,Manual,Third Owner,14,Budget,,,,,,
Maruti Alto K10 2010-2014 VXI,2011,"₹ 1,70,000",90000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Chevrolet Beat LS,2016,"₹ 1,70,000",125000,Petrol,Individual,Manual,First Owner,10,Budget,,,,,,
Mahindra Jeep Classic,1999,"₹ 1,70,000",2020,Diesel,Individual,Manual,Second Owner,27,Budget,,,,,,
Tata Indigo CR4,2013,"₹ 1,70,000",60000,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Wagon R VXI Minor,2010,"₹ 1,70,000",70000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Hyundai EON 1.0 Kappa Magna Plus,2015,"₹ 1,70,000",80000,Petrol,Individual,Manual,Second Owner,11,Budget,,,,,,
Chevrolet Spark 1.0 LS,2009,"₹ 1,70,000",44800,Petrol,Individual,Manual,Second Owner,17,Budget,,,,,,
Tata Manza Club Class Quadrajet90 VX,2013,"₹ 1,70,000",60400,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Hyundai Santro Xing GLS,2010,"₹ 1,70,000",50000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Hyundai EON Era Plus,2013,"₹ 1,70,000",80000,Petrol,Individual,Manual,Third Owner,13,Budget,,,,,,
Fiat Linea Emotion,2010,"₹ 1,70,000",100000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Chevrolet Sail 1.2 Base,2014,"₹ 1,70,000",100000,Petrol,Individual,Manual,Second Owner,12,Budget,,,,,,
Hyundai EON Magna Plus,2012,"₹ 1,70,000",60000,Petrol,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti 800 Std,2013,"₹ 1,70,000",70000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Honda Civic 1.8 S MT,2007,"₹ 1,70,000",70000,Petrol,Individual,Manual,Third Owner,19,Budget,,,,,,
Ford Figo Diesel Titanium,2010,"₹ 1,70,000",90000,Diesel,Individual,Manual,Third Owner,16,Budget,,,,,,
Maruti Wagon R VXI BS IV,2011,"₹ 1,70,000",40000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Chevrolet Optra Magnum 2.0 LT,2011,"₹ 1,70,000",150000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Omni 8 Seater BSIV,2013,"₹ 1,70,000",35000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Hyundai Accent CRDi,2006,"₹ 1,70,000",245244,Diesel,Individual,Manual,Fourth & Above Owner,20,Budget,,,,,,
Maruti Alto 800 CNG LXI,2012,"₹ 1,70,000",97000,CNG,Individual,Manual,Second Owner,14,Budget,,,,,,
Chevrolet Beat PS,2014,"₹ 1,70,000",77000,Petrol,Individual,Manual,First Owner,12,Budget,,,,,,
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2004,"₹ 1,70,000",120000,Diesel,Individual,Manual,First Owner,22,Budget,,,,,,
Maruti Eeco 5 STR With AC Plus HTR CNG,2010,"₹ 1,70,000",80000,CNG,Individual,Manual,Fourth & Above Owner,16,Budget,,,,,,
Mahindra Bolero SLX,2011,"₹ 1,70,000",70000,Diesel,Individual,Manual,Third Owner,15,Budget,,,,,,
Tata Indica Vista TDI LS,2010,"₹ 1,70,000",107500,Diesel,Dealer,Manual,First Owner,16,Budget,,,,,,
Chevrolet Beat Diesel LT,2013,"₹ 1,73,000",70000,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Ford Figo Diesel ZXI,2011,"₹ 1,75,000",149000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti SX4 Zxi BSIII,2008,"₹ 1,75,000",29173,Petrol,Dealer,Manual,First Owner,18,Budget,,,,,,
Tata Indigo CS eLX BS IV,2013,"₹ 1,75,000",50300,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Hyundai Verna CRDi ABS,2007,"₹ 1,75,000",80000,Diesel,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Wagon R LXI,2008,"₹ 1,75,000",54551,Petrol,Dealer,Manual,First Owner,18,Budget,,,,,,
Maruti Ritz VDi,2009,"₹ 1,75,000",80000,Diesel,Individual,Manual,Third Owner,17,Budget,,,,,,
Hyundai Verna CRDi SX ABS,2009,"₹ 1,75,000",136000,Diesel,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Zen Estilo VXI BSIV,2010,"₹ 1,75,000",52047,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Maruti Alto K10 LXI,2012,"₹ 1,75,000",20000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Maruti Alto K10 LXI,2010,"₹ 1,75,000",64000,Petrol,Dealer,Manual,First Owner,16,Budget,,,,,,
Skoda Laura Ambiente 1.9 PD,2007,"₹ 1,75,000",181000,Diesel,Individual,Manual,Fourth & Above Owner,19,Budget,,,,,,
Toyota Corolla H2,2005,"₹ 1,75,000",100000,Petrol,Individual,Manual,Fourth & Above Owner,21,Budget,,,,,,
Maruti Alto 800 Base,2014,"₹ 1,75,000",40000,Petrol,Individual,Manual,First Owner,12,Budget,,,,,,
Tata Indica Vista Quadrajet LX,2012,"₹ 1,75,000",80000,Diesel,Individual,Manual,Third Owner,14,Budget,,,,,,
Mahindra Verito 1.5 D2 BSIII,2011,"₹ 1,75,000",175000,Diesel,Individual,Manual,First Owner,15,Budget,,,,,,
Ford Figo Diesel Titanium,2012,"₹ 1,75,000",180000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Mahindra Scorpio 2.6 CRDe,2005,"₹ 1,75,000",250000,Diesel,Individual,Manual,Second Owner,21,Budget,,,,,,
Hyundai i10 Era,2011,"₹ 1,75,000",139000,Petrol,Individual,Manual,Second Owner,15,Budget,,,,,,
Hyundai Santro Xing GL Plus,2013,"₹ 1,75,000",80000,Petrol,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Alto LXi,2011,"₹ 1,75,000",60000,Petrol,Individual,Manual,Third Owner,15,Budget,,,,,,
Maruti SX4 Zxi with Leather BSIII,2007,"₹ 1,75,000",78380,Petrol,Individual,Manual,First Owner,19,Budget,,,,,,
Maruti Alto LXi,2012,"₹ 1,75,000",80000,Petrol,Individual,Manual,Third Owner,14,Budget,,,,,,
Volkswagen Polo Diesel Trendline 1.2L,2011,"₹ 1,75,000",90000,Diesel,Individual,Manual,Third Owner,15,Budget,,,,,,
Maruti Swift LXI,2011,"₹ 1,75,000",70000,Petrol,Individual,Manual,First Owner,15,Budget,,,,,,
Chevrolet Spark 1.0 LS,2010,"₹ 1,75,000",45000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti Alto 800 LXI,2017,"₹ 1,78,000",35000,Petrol,Individual,Manual,First Owner,9,Budget,,,,,,
Skoda Fabia 1.2L Diesel Ambiente,2010,"₹ 1,80,000",87000,Diesel,Dealer,Manual,Second Owner,16,Budget,,,,,,
Hyundai i20 1.4 Magna ABS,2009,"₹ 1,80,000",60000,Diesel,Individual,Manual,Second Owner,17,Budget,,,,,,
Maruti Alto LXi BSIII,2008,"₹ 1,80,000",70000,Petrol,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti Ritz VDi,2011,"₹ 1,80,000",90000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Tata New Safari DICOR 2.2 EX 4x2,2010,"₹ 1,80,000",120000,Diesel,Individual,Manual,Second Owner,16,Budget,,,,,,
Honda City 1.5 EXI,2004,"₹ 1,80,000",200000,Petrol,Individual,Manual,Second Owner,22,Budget,,,,,,
Ford Figo Diesel LXI,2011,"₹ 1,80,000",70000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Alto LXi,2012,"₹ 1,80,000",60000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Tata Indica Vista Quadrajet LX,2013,"₹ 1,80,000",200000,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Alto 800 LX,2017,"₹ 1,80,000",60000,Petrol,Individual,Manual,First Owner,9,Budget,,,,,,
Maruti Swift Vdi BSIII,2010,"₹ 1,80,000",100000,Diesel,Individual,Manual,Second Owner,16,Budget,,,,,,
Maruti A-Star Vxi,2009,"₹ 1,80,000",70000,Petrol,Individual,Manual,Third Owner,17,Budget,,,,,,
Tata Manza Aura (ABS) Quadrajet BS IV,2012,"₹ 1,80,000",155836,Diesel,Individual,Manual,Second Owner,14,Budget,,,,,,
Maruti A-Star Vxi,2009,"₹ 1,80,000",46730,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Maruti Wagon R LXI DUO BS IV,2012,"₹ 1,80,000",60000,LPG,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Alto LX,2011,"₹ 1,80,000",36000,Petrol,Dealer,Manual,First Owner,15,Budget,,,,,,
Chevrolet Optra Magnum 2.0 LS BSIII,2012,"₹ 1,80,000",120000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Hyundai i10 Sportz AT,2011,"₹ 1,80,000",134444,Petrol,Individual,Automatic,Second Owner,15,Budget,,,,,,
Ford Ikon 1.3L Rocam Flair,2006,"₹ 1,80,000",91086,Petrol,Dealer,Manual,Second Owner,20,Budget,,,,,,
Mahindra Scorpio 2.6 CRDe,2006,"₹ 1,80,000",222435,Diesel,Individual,Manual,Second Owner,20,Budget,,,,,,
Chevrolet Spark 1.0 LT,2010,"₹ 1,80,000",15000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Maruti Alto 800 LXI,2014,"₹ 1,80,000",61000,Petrol,Individual,Manual,First Owner,12,Budget,,,,,,
Hyundai EON LPG Magna Plus,2012,"₹ 1,80,000",90000,LPG,Individual,Manual,First Owner,14,Budget,,,,,,
Chevrolet Beat Diesel LS,2012,"₹ 1,80,000",55130,Diesel,Dealer,Manual,First Owner,14,Budget,,,,,,
Maruti Wagon R LXI,2009,"₹ 1,80,000",30375,Petrol,Dealer,Manual,First Owner,17,Budget,,,,,,
Tata Indica Vista Aqua 1.3 Quadrajet BSIV,2011,"₹ 1,80,000",66000,Diesel,Individual,Manual,First Owner,15,Budget,,,,,,
Hyundai EON D Lite,2014,"₹ 1,80,000",76000,Petrol,Individual,Manual,Second Owner,12,Budget,,,,,,
Maruti Swift Vdi BSIII,2009,"₹ 1,80,000",220000,Diesel,Individual,Manual,First Owner,17,Budget,,,,,,
Tata Indigo CS eLS BS IV,2011,"₹ 1,80,000",120000,Diesel,Individual,Manual,First Owner,15,Budget,,,,,,
Maruti Alto LXi,2012,"₹ 1,80,000",40000,Petrol,Individual,Manual,Second Owner,14,Budget,,,,,,
Maruti Alto 800 LXI,2014,"₹ 1,80,000",56207,Petrol,Dealer,Manual,Second Owner,12,Budget,,,,,,
Hyundai Accent Executive,2012,"₹ 1,80,000",100000,Petrol,Individual,Manual,Third Owner,14,Budget,,,,,,
Maruti Alto K10 VXI,2014,"₹ 1,80,000",100000,Petrol,Individual,Manual,Second Owner,12,Budget,,,,,,
Maruti A-Star Vxi,2010,"₹ 1,80,000",40000,Petrol,Individual,Manual,First Owner,16,Budget,,,,,,
Skoda Laura L n K 1.9 PD,2008,"₹ 1,80,000",144000,Diesel,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti 800 AC,2012,"₹ 1,80,000",120000,Petrol,Individual,Manual,First Owner,14,Budget,,,,,,
Maruti Wagon R LXI Minor,2009,"₹ 1,80,000",30000,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Maruti Zen Estilo Sports,2009,"₹ 1,80,000",41090,Petrol,Individual,Manual,First Owner,17,Budget,,,,,,
Tata Manza ELAN Quadrajet BS IV,2011,"₹ 1,80,000",80000,Diesel,Individual,Manual,Third Owner,15,Budget,,,,,,
Chevrolet Beat LS,2012,"₹ 1,80,000",50000,Petrol,Individual,Manual,First Owner,14,Budget,,,,,,
Tata Indigo TDI,2013,"₹ 1,82,000",100000,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Maruti Alto 800 VXI,2018,"₹ 1,83,000",40000,Petrol,Individual,Manual,First Owner,8,Budget,,,,,,
Mahindra Bolero SLE BSIII,2007,"₹ 1,85,000",230000,Diesel,Individual,Manual,Second Owner,19,Budget,,,,,,
Tata Indica Vista Quadrajet VX,2012,"₹ 1,85,000",40000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Tata Indigo CS Emax CNG GLX,2014,"₹ 1,85,000",72000,CNG,Dealer,Manual,First Owner,12,Budget,,,,,,
Ford Figo Petrol ZXI,2011,"₹ 1,85,000",50000,Petrol,Individual,Manual,Third Owner,15,Budget,,,,,,
Tata Indica Vista TDI LX,2013,"₹ 1,85,000",65000,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Hyundai Accent Executive CNG,2012,"₹ 1,85,000",67000,CNG,Dealer,Manual,Second Owner,14,Budget,,,,,,
Tata Manza Aura Quadrajet,2009,"₹ 1,85,000",60000,Diesel,Individual,Manual,Third Owner,17,Budget,,,,,,
Tata Indica Vista Quadrajet VX,2012,"₹ 1,85,000",85000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,"₹ 1,85,000",100000,Diesel,Individual,Manual,Second Owner,14,Budget,,,,,,
Maruti Swift Dzire VDI,2014,"₹ 1,85,000",40000,Diesel,Individual,Manual,Third Owner,12,Budget,,,,,,
Hyundai Santro Xing GLS,2008,"₹ 1,90,000",70000,Petrol,Individual,Manual,Third Owner,18,Budget,,,,,,
Maruti Wagon R VXI Optional,2015,"₹ 1,90,000",120000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Maruti Swift VDI,2012,"₹ 1,90,000",80000,Diesel,Individual,Manual,Third Owner,14,Budget,,,,,,
Maruti Alto 800 LXI,2019,"₹ 1,90,000",5000,Petrol,Individual,Manual,First Owner,7,Budget,,,,,,
Maruti Alto 800 LXI,2014,"₹ 1,90,000",90000,Petrol,Individual,Manual,Second Owner,12,Budget,,,,,,
Maruti Alto 800 VXI,2015,"₹ 1,90,000",70000,Petrol,Individual,Manual,First Owner,11,Budget,,,,,,
Ford Figo Diesel Celebration Edition,2013,"₹ 1,90,000",120000,Diesel,Individual,Manual,First Owner,13,Budget,,,,,,
Ford Fiesta 1.6 ZXi Duratec,2007,"₹ 1,90,000",60000,Petrol,Individual,Manual,Third Owner,19,Budget,,,,,,
Tata Manza Aqua Quadrajet BS IV,2012,"₹ 1,90,000",120000,Diesel,Individual,Manual,First Owner,14,Budget,,,,,,
Skoda Laura Ambiente,2008,"₹ 1,90,000",120000,Diesel,Individual,Manual,Third Owner,18,Budget,,,,,,
Fiat Linea Active (Diesel),2011,"₹ 1,90,000",80000,Diesel,Individual,Manual,Third Owner,15,Budget,,,,,,
Ford Figo Diesel Titanium,2011,"₹ 1,90,000",110000,Diesel,Individual,Manual,Second Owner,15,Budget,,,,,,
Maruti Alto LXi BSIII,2010,"₹ 1,90,000",52000,Petrol,Individual,Manual,Second Owner,16,Budget,,,,,,
Mahindra Scorpio SLX 2.6 Turbo 8 Str,2007,"₹ 1,90,000",160000,Diesel,Individual,Manual,Second Owner,19,Budget,,,,,,
Maruti Alto LXi BSIII,2010,"₹ 1,90,000",73350,Petrol,Dealer,Manual,First Owner,16,Budget,,,,,,
